formulaRank	molecularFormula	adduct	precursorFormula	NPC#pathway	NPC#pathway Probability	NPC#superclass	NPC#superclass Probability	NPC#class	NPC#class Probability	ClassyFire#superclass	ClassyFire#superclass probability	ClassyFire#class	ClassyFire#class Probability	ClassyFire#subclass	ClassyFire#subclass Probability	ClassyFire#level 5	ClassyFire#level 5 Probability	ClassyFire#most specific class	ClassyFire#most specific class Probability	ClassyFire#all classifications	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	mappingFeatureId	overallFeatureQuality
1	C8H11NO2	[M + H]+	C8H12NO2+	Alkaloids	0.678	Lysine alkaloids	0.100	Piperidine alkaloids	0.166	Organic oxygen compounds	1.000	Organooxygen compounds	0.999	Carbonyl compounds	0.900	Ketones	0.677	Ketones	0.677	Organic compounds; Organoheterocyclic compounds; Ketones; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid derivatives; Carbonyl compounds; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	154.086	33	0.555	666527044074306143	666526485342668951	1815	
1	C8H15N4O3	[M + H]+	C8H16N4O3+	Alkaloids	0.851	Guanidine alkaloids	0.389	Aminoacids	0.084	Organic nitrogen compounds	1.000	Organonitrogen compounds	1.000	Amines	0.659	Alkanolamines	0.612	1,2-aminoalcohols	0.558	Organic compounds; Organoheterocyclic compounds; Alcohols and polyols; Organonitrogen compounds; Organooxygen compounds; Secondary alcohols; 1,2-aminoalcohols; Amines; Alkanolamines; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	216.123	33	0.556	666527063284221383	666526495362861712	2057	
1	C11H19N3O2	[M + H]+	C11H20N3O2+	Amino acids and Peptides	0.935	Small peptides	0.963	Dipeptides	0.574	Organic acids and derivatives	1.000	Carboxylic acids and derivatives	0.998	Amino acids, peptides, and analogues	0.996	Amino acids and derivatives	0.995	Alpha amino acid amides	0.835	Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Pyrrolidines; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; Primary carboxylic acid amides; Tertiary carboxylic acid amides; Carbonyl compounds; Alpha amino acid amides; Amines; Primary amines; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	226.155	33	0.556	666527035199157630	666526501373299454	1970	
1	C5H7N2O7PS	[M + H]+	C5H8N2O7PS+	Amino acids and Peptides	0.461	Small peptides	0.272	Halogenated fatty acids	0.110	Organic acids and derivatives	0.979	Organic phosphoric acids and derivatives	0.795	Phosphate esters	0.653			Phosphate esters	0.653	Organic compounds; Organic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Organic phosphoric acids and derivatives; Phosphate esters; Carbonyl compounds; Organic 1,3-dipolar compounds; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	270.978	34	0.560	666527062512468933	666526508612668778	2216	
1	C13H22N2O7	[M + H]+	C13H23N2O7+	Carbohydrates	0.846	Aminosugars and aminoglycosides	0.854	Aminosugars	0.635	Organic acids and derivatives	0.997	Carboxylic acids and derivatives	0.993	Amino acids, peptides, and analogues	0.787	Amino acids and derivatives	0.787	Alpha amino acids and derivatives	0.529	Organic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Hydroxy fatty acids; Amino acids and derivatives; Monoalkylamines; Hydroxy acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; Amines; Primary amines; Fatty Acyls; Acetamides; Organic oxides; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	319.149	34	0.560	666527064316020385	666526516892225499	1280	
1	C14H24N2O7	[M + H]+	C14H25N2O7+	Carbohydrates	0.304	Polyols	0.179	Amino cyclitols	0.122	Organic acids and derivatives	0.972	Carboxylic acids and derivatives	0.960	Amino acids, peptides, and analogues	0.792	Amino acids and derivatives	0.792	Alpha amino acids and derivatives	0.547	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; Carboxylic acids; Secondary alcohols; Tertiary alcohols; Carbonyl compounds; Amines; Alkanolamines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	333.165	34	0.561	666527051166874698	666526518746108017	2186	
1	C10H22N2O	[M + H]+	C10H23N2O+	Fatty acids	0.417	Fatty amides	0.598	N-acyl amines	0.320	Organic acids and derivatives	0.878	Carboxylic acids and derivatives	0.840	Amino acids, peptides, and analogues	0.510	Amino acids and derivatives	0.507	Amino acids and derivatives	0.507	Organic compounds; Amino acids, peptides, and analogues; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; Secondary carboxylic acid amides; Carbonyl compounds; Amines; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	187.180	34	0.561	666527065691752423	666526491151780246	1907	
1	C7H13NO3	[M + H]+	C7H14NO3+	Amino acids and Peptides	0.732	Small peptides	0.959	Dipeptides	0.398	Organic acids and derivatives	1.000	Carboxylic acids and derivatives	1.000	Amino acids, peptides, and analogues	0.710	Amino acids and derivatives	0.706	Amino acids and derivatives	0.706	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Secondary carboxylic acid amides; Carbonyl compounds; Fatty Acyls; Acetamides; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	160.097	34	0.562	666527066337675585	666526486114420912	2294	
1	C6H14N5O3	[M + H]+	C6H15N5O3+	Amino acids and Peptides	0.997	Small peptides	0.994	Aminoacids	0.993	Organic acids and derivatives	0.997	Carboxylic acids and derivatives	0.996	Amino acids, peptides, and analogues	0.989	Amino acids and derivatives	0.988	Alpha amino acids	0.942	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monoalkylamines; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Alpha amino acids; Amines; Primary amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	205.118	34	0.563	666527064592844532	666526493949381169	2229	
1	C12H18N2O6	[M + H]+	C12H19N2O6+	Amino acids and Peptides	0.525	Nucleosides	0.302	Pyrimidine nucleosides	0.500	Lipids and lipid-like molecules	0.628	Fatty Acyls	0.574					Fatty Acyls	0.574	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Secondary alcohols; Carbonyl compounds; Fatty Acyls; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	287.123	34	0.564	666527071588946043	666526510189727237	2164	
1	C9H15NO3	[M + H]+	C9H16NO3+	Amino acids and Peptides	0.547	Small peptides	0.896	Aminoacids	0.340	Organic acids and derivatives	1.000	Carboxylic acids and derivatives	1.000	Amino acids, peptides, and analogues	0.610	Amino acids and derivatives	0.610	Amino acids and derivatives	0.610	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid amides; Amino fatty acids; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Secondary carboxylic acid amides; Carbonyl compounds; Medium-chain fatty acids; Fatty Acyls; Acetamides; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	186.112	34	0.564	666527076710192160	666526490958842247	2058	
1	C10H17NO6	[M + H]+	C10H18NO6+	Amino acids and Peptides	0.865	Fatty amides	0.290	Aminoacids	0.182	Organic acids and derivatives	0.970	Carboxylic acids and derivatives	0.949	Amino acids, peptides, and analogues	0.645	Amino acids and derivatives	0.644	Alpha amino acids and derivatives	0.573	Organic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Monosaccharides; Secondary alcohols; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	248.113	34	0.564	666527086705220551	666526505030732847	1969	
1	C18H22N2O5	[M + H]+	C18H23N2O5+	Amino acids and Peptides	0.486	Cyclic polyketides	0.075	Erythromycins	0.089	Organic acids and derivatives	0.998	Carboxylic acids and derivatives	0.990	Amino acids, peptides, and analogues	0.509	Amino acids and derivatives	0.510	Amino acids and derivatives	0.510	Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Organic carbonic acids and derivatives; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acid esters; Carboxylic acid imides; Carbonyl compounds; Dicarboximides; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	347.158	34	0.565	666527072792711485	666526520167977203	2265	
1	C10H17N3O3	[M + H]+	C10H18N3O3+	Amino acids and Peptides	0.954	Small peptides	0.978	Dipeptides	0.738	Organic acids and derivatives	0.999	Carboxylic acids and derivatives	0.999	Amino acids, peptides, and analogues	0.966	Amino acids and derivatives	0.966	Histidine and derivatives	0.691	Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Imidazoles; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Azoles; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Imidazolyl carboxylic acids and derivatives; Carbonyl compounds; Beta amino acids and derivatives; Substituted imidazoles; Amines; Primary amines; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Amino acids; Histidine and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	228.134	34	0.565	666527065712723953	666526501595597586	2118	
1	C9H13NO4	[M + H]+	C9H14NO4+	Amino acids and Peptides	0.866	Small peptides	0.549	Aminoacids	0.599	Organic acids and derivatives	1.000	Carboxylic acids and derivatives	1.000	Amino acids, peptides, and analogues	0.964	Amino acids and derivatives	0.964	Proline and derivatives	0.651	Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Lactams; Pyrrolidines; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Pyrrolidones; Carboxylic acids; Tertiary carboxylic acid amides; Carbonyl compounds; Pyrrolidine carboxylic acids and derivatives; Oxoprolines; Pyrrolidine carboxylic acids; Pyrrolidine-2-ones; N-alkylpyrrolidines; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Proline and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	200.092	34	0.567	666527066924878416	666526493345401353	2288	
1	C9H10N2O3	[M + H]+	C9H11N2O3+	Amino acids and Peptides	0.670	Small peptides	0.720	Aminoacids	0.730	Benzenoids	0.188	Benzene and substituted derivatives	0.259	Anilides	0.221	Acetanilides	0.672	Acetanilides	0.672	Organic compounds; Organoheterocyclic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Secondary carboxylic acid amides; Carbonyl compounds; Acetanilides; Acetamides; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; N-acetylarylamines; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	195.076	34	0.569	666527066518030730	666526492103887299	945	
1	C9H14N2O4	[M + H]+	C9H15N2O4+	Alkaloids	0.790	Peptide alkaloids	0.447	Pyrazine and Piperazine alkaloids	0.689	Organic oxygen compounds	1.000	Organooxygen compounds	0.999	Carbohydrates and carbohydrate conjugates	0.054	Sugar alcohols	0.539	Sugar alcohols	0.539	Organic compounds; Organoheterocyclic compounds; Alcohols and polyols; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Secondary alcohols; Sugar alcohols; Polyols; 1,2-diols; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	215.103	34	0.572	666527069839920768	666526495195089542	2241	
1	C14H24N2O5	[M + H]+	C14H25N2O5+	Amino acids and Peptides	0.971	Small peptides	0.787	Dipeptides	0.265	Organic acids and derivatives	0.999	Carboxylic acids and derivatives	0.997	Amino acids, peptides, and analogues	0.899	Amino acids and derivatives	0.896	Alpha amino acids and derivatives	0.777	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Branched fatty acids; Amino acids and derivatives; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Secondary carboxylic acid amides; Carbonyl compounds; Amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	301.176	34	0.573	666527075292517076	666526512387542733	2262	
1	C10H23N5O4	[M + K]+	C10H23KN5O4+	Amino acids and Peptides	0.971	Small peptides	0.987	Dipeptides	0.833	Organic acids and derivatives	0.998	Carboxylic acids and derivatives	0.997	Amino acids, peptides, and analogues	0.986	Peptides	0.618	Peptides	0.618	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Branched fatty acids; Amino acids and derivatives; Peptides; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Secondary carboxylic acid amides; Carbonyl compounds; Alpha amino acid amides; N-acyl-alpha amino acids; Amines; Primary amines; Carboximidamides; Organic 1,3-dipolar compounds; Propargyl-type 1,3-dipolar organic compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	316.137	34	0.573	666527086738775007	666526516351160228	2283	
1	C11H17N4O5	[M + H]+	C11H18N4O5+	Amino acids and Peptides	0.880	Small peptides	0.844	Dipeptides	0.516	Organic acids and derivatives	0.986	Carboxylic acids and derivatives	0.971	Amino acids, peptides, and analogues	0.831	Amino acids and derivatives	0.825	Alpha amino acids and derivatives	0.761	Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Amines; Primary amines; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	286.127	34	0.573	666527077448389733	666526510089063931	2247	
1	C10H16N2O2	[M + H]+	C10H17N2O2+	Alkaloids	0.964	Histidine alkaloids	0.355	Imidazole alkaloids	0.359	Organoheterocyclic compounds	0.986	Azoles	0.550					Azoles	0.550	Organic compounds; Organoheterocyclic compounds; Alcohols and polyols; Organonitrogen compounds; Organooxygen compounds; Azoles; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	197.128	34	0.574	666527076269790147	666526492955331061	2258	
1	C8H13N4O4	[M + H]+	C8H14N4O4+	Carbohydrates	0.552	Guanidine alkaloids	0.292	Purine nucleosides	0.077	Organoheterocyclic compounds	0.959	Pteridines and derivatives	0.427	Pterins and derivatives	0.374	Biopterins and derivatives	0.727	Biopterins and derivatives	0.727	Organic compounds; Organoheterocyclic compounds; Pyrimidines and pyrimidine derivatives; Alcohols and polyols; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Diazines; Biopterins and derivatives; Secondary alcohols; Polyols; Amines; Organic 1,3-dipolar compounds; Propargyl-type 1,3-dipolar organic compounds; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	230.102	34	0.574	666527071429562415	666526501746592545	2348	
1	C17H32N4O4	[M + H]+	C17H33N4O4+	Amino acids and Peptides	0.929	Small peptides	0.663	Tripeptides	0.230	Organic acids and derivatives	0.995	Carboxylic acids and derivatives	0.992	Amino acids, peptides, and analogues	0.966	Peptides	0.786	Peptides	0.786	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Pyrrolidines; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Peptides; Monoalkylamines; Carboxylic acid amides; Amino fatty acids; Carboxylic acid derivatives; N-acyl amines; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Secondary alcohols; Secondary carboxylic acid amides; Tertiary carboxylic acid amides; Carbonyl compounds; Heterocyclic fatty acids; Alpha amino acid amides; Amines; Primary amines; Medium-chain fatty acids; Fatty Acyls; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	357.250	35	0.575	666527073799344674	666526521573069168	1147	
1	C12H19N3O4	[M + H]+	C12H20N3O4+	Amino acids and Peptides	0.998	Small peptides	0.999	Dipeptides	0.980	Organic acids and derivatives	1.000	Carboxylic acids and derivatives	1.000	Amino acids, peptides, and analogues	0.999	Peptides	0.917	Dipeptides	0.743	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Pyrrolidines; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Peptides; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Secondary carboxylic acid amides; Tertiary carboxylic acid amides; Carbonyl compounds; Pyrrolidine carboxylic acids and derivatives; Pyrrolidinecarboxamides; Alpha amino acid amides; N-acyl-alpha amino acids; Pyrrolidine carboxylic acids; Amines; Primary amines; N-acylpyrrolidines; Fatty Acyls; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Amino acids; Proline and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Dipeptides; Chemical entities	270.145	35	0.577	666527071286956005	666526508553948517	2287	
1	C10H19NO6S	[M + H]+	C10H20NO6S+	Amino acids and Peptides	0.934	Small peptides	0.938	Aminoacids	0.345	Organic acids and derivatives	1.000	Carboxylic acids and derivatives	1.000	Amino acids, peptides, and analogues	0.999	Amino acids and derivatives	0.999	N-acyl-alpha amino acids	0.920	Organic compounds; Organosulfur compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Hydroxy fatty acids; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Thia fatty acids; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; N-acyl-alpha amino acids; Sulfenyl compounds; Dialkylthioethers; Fatty Acyls; Organic oxides; Methionine and derivatives; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	282.100	35	0.578	666527083123283512	666526509678022094	2393	
1	C13H22N2O5	[M + H]+	C13H23N2O5+	Alkaloids	0.767	Histidine alkaloids	0.745	Imidazole alkaloids	0.751	Organoheterocyclic compounds	0.970	Azoles	0.785	Imidazoles	0.596			Imidazoles	0.596	Organic compounds; Organoheterocyclic compounds; Imidazoles; Alcohols and polyols; Organonitrogen compounds; Organooxygen compounds; Azoles; Secondary alcohols; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	287.160	35	0.579	666527081906935232	666526510240058890	2392	
1	C8H10N2O2	[M + H]+	C8H11N2O2+	Alkaloids	0.668	Histidine alkaloids	0.210	Imidazole alkaloids	0.211	Organoheterocyclic compounds	0.981	Azoles	0.667	Pyrazoles	0.532			Pyrazoles	0.532	Organic compounds; Organoheterocyclic compounds; Pyrazoles; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Azoles; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	167.082	35	0.582	666527066241206515	666526487133636814	2347	
1	C15H23N3O4	[M + H]+	C15H24N3O4+	Amino acids and Peptides	0.407	Small peptides	0.340	Dipeptides	0.275	Organic acids and derivatives	0.991	Carboxylic acids and derivatives	0.976	Amino acids, peptides, and analogues	0.899	Amino acids and derivatives	0.897	Alpha amino acid amides	0.708	Organic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Anilides; Organooxygen compounds; Amino acids and derivatives; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; Secondary carboxylic acid amides; Carbonyl compounds; Benzene and substituted derivatives; Alpha amino acid amides; Benzenoids; Amines; Primary amines; N-arylamides; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	310.175	35	0.584	666527084977166270	666526515776540525	2366	
1	C5H5N5O	[M + H]+	C5H6N5O+	Alkaloids	0.989	Pseudoalkaloids (transamidation)	0.904	Purine alkaloids	0.975	Organoheterocyclic compounds	0.999	Imidazopyrimidines	0.882	Purines and purine derivatives	0.644			Purines and purine derivatives	0.644	Organic compounds; Organoheterocyclic compounds; Pyrimidines and pyrimidine derivatives; Imidazoles; Purines and purine derivatives; Organic acids and derivatives; Organonitrogen compounds; Pyrimidones; Organooxygen compounds; Azoles; Aminopyrimidines and derivatives; Diazines; Imidazopyrimidines; Amines; Primary amines; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	152.057	35	0.585	666527064689313568	666526484856129672	2441	
1	C10H17N5O4	[M + Na]+	C10H17N5NaO4+	Carbohydrates	0.958	Nucleosides	0.822	Aminosugars	0.253	Organic acids and derivatives	0.948	Carboxylic acids and derivatives	0.889	Amino acids, peptides, and analogues	0.745	Amino acids and derivatives	0.742	Alpha amino acids and derivatives	0.644	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Amino acids and derivatives; Monoalkylamines; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Monosaccharides; Secondary alcohols; Carbonyl compounds; Glycosylamines; Amines; Primary amines; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	294.119	35	0.586	666527085631477977	666526511146028639	2452	
1	C12H22N2O4	[M + H]+	C12H23N2O4+	Amino acids and Peptides	0.659	Small peptides	0.779	Dipeptides	0.377	Organic acids and derivatives	1.000	Carboxylic acids and derivatives	0.999	Amino acids, peptides, and analogues	0.892	Amino acids and derivatives	0.887	N-acyl-alpha amino acids	0.580	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Branched fatty acids; Hydroxy fatty acids; Amino acids and derivatives; Carboxylic acid amides; Amino fatty acids; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Secondary carboxylic acid amides; Carbonyl compounds; N-acyl-alpha amino acids; Medium-chain fatty acids; Fatty Acyls; Acetamides; Organic oxides; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	259.165	35	0.587	666527071404396568	666526506565848266	2454	
